日付,基準価額
20080109,10000
20080110,10049
20080111,10094
20080115,9930
20080116,9523
20080117,9667
20080118,9594
20080121,9504
20080122,9256
20080123,9563
20080124,10045
20080125,10145
20080128,10156
20080129,10352
20080130,10313
20080131,10070
20080201,10294
20080204,10625
20080205,10591
20080206,10173
20080207,9989
20080208,10137
20080212,9868
20080213,10206
20080214,10323
20080215,10179
20080218,10173
20080219,10248
20080220,10225
20080221,10251
20080222,10124
20080225,10174
20080226,10463
20080227,10492
20080228,10424
20080229,10138
20080303,9784
20080304,9764
20080305,9692
20080306,9889
20080307,9591
20080310,9472
20080311,9250
20080312,9730
20080313,9596
20080314,9556
20080317,9146
20080318,8918
20080319,9525
20080321,9562
20080324,9589
20080325,9803
20080326,9907
20080327,9743
20080328,9746
20080331,9694
20080401,9754
20080402,10303
20080403,10412
20080404,10515
20080407,10376
20080408,10436
20080409,10379
20080410,10088
20080411,10099
20080414,9918
20080415,9837
20080416,10013
20080417,10326
20080418,10421
20080421,10558
20080422,10434
20080423,10385
20080424,10517
20080425,10659
20080428,10721
20080430,10637
20080501,10579
20080502,10730
20080507,10839
20080508,10582
20080509,10508
20080512,10330
20080513,10582
20080514,10648
20080515,10739
20080516,10803
20080519,10707
20080520,10667
20080521,10517
20080522,10336
20080523,10396
20080526,10239
20080527,10245
20080528,10340
20080529,10445
20080530,10566
20080602,10479
20080603,10244
20080604,10348
20080605,10443
20080606,10694
20080609,10323
20080610,10273
20080611,10244
20080612,10087
20080613,10166
20080616,10299
20080617,10440
20080618,10253
20080619,10113
20080620,10231
20080623,10035
20080624,9861
20080625,9880
20080626,9998
20080627,9675
20080630,9514
20080701,9452
20080702,9375
20080703,9261
20080704,9299
20080707,9330
20080708,9237
20080709,9485
20080710,9106
20080711,9146
20080714,9035
20080715,8783
20080716,8564
20080717,8878
20080718,9245
20080722,9493
20080723,9696
20080724,9992
20080725,9598
20080728,9628
20080729,9396
20080730,9673
20080731,9739
20080801,9628
20080804,9608
20080805,9546
20080806,9899
20080807,9957
20080808,9755
20080811,9970
20080812,10212
20080813,9978
20080814,9764
20080815,9827
20080818,9896
20080819,9756
20080820,9514
20080821,9530
20080822,9373
20080825,9721
20080826,9498
20080827,9543
20080828,9572
20080829,9792
20080901,9694
20080902,9675
20080903,9764
20080904,9797
20080905,9353
20080908,9513
20080909,9797
20080910,9478
20080911,9561
20080912,9540
20080916,8768
20080917,9236
20080918,8775
20080919,9421
20080922,9918
20080924,9221
20080925,9233
20080926,9341
20080929,9484
20080930,8596
20081001,9129
20081002,9006
20081003,8526
20081006,8161
20081007,7521
20081008,7173
20081009,6837
20081010,6271
20081014,7200
20081015,6855
20081016,6156
20081017,6398
20081020,6417
20081021,6451
20081022,6199
20081023,5597
20081024,5450
20081027,4896
20081028,4645
20081029,5380
20081030,5375
20081031,5562
20081104,5794
20081105,6112
20081106,5673
20081107,5315
20081110,5624
20081111,5193
20081112,5089
20081113,4760
20081114,5096
20081117,4710
20081118,4595
20081119,4537
20081120,4134
20081121,3793
20081125,4454
20081126,4504
20081127,4649
20081128,4691
20081201,4659
20081202,3998
20081203,4225
20081204,4339
20081205,4203
20081208,4468
20081209,4808
20081210,4540
20081211,4778
20081212,4331
20081215,4527
20081216,4431
20081217,4738
20081218,4732
20081219,4632
20081222,4763
20081224,4723
20081225,4740
20081226,4753
20081229,4785
20081230,4638
20090105,4939
20090106,4927
20090107,5190
20090108,5018
20090109,4918
20090113,4426
20090114,4410
20090115,4192
20090116,4261
20090119,4441
20090120,4361
20090121,3972
20090122,4156
20090123,4085
20090126,4074
20090127,4145
20090128,4159
20090129,4463
20090130,4181
20090202,4088
20090203,4096
20090204,4063
20090205,3968
20090206,3957
20090209,4238
20090210,4294
20090212,4002
20090213,3955
20090216,3849
20090217,3835
20090218,3621
20090219,3688
20090220,3616
20090223,3678
20090224,3532
20090225,3799
20090226,3793
20090227,3727
20090302,3675
20090303,3449
20090304,3490
20090305,3569
20090306,3373
20090309,3287
20090310,3288
20090311,3620
20090312,3558
20090313,3771
20090316,3804
20090317,3684
20090318,3874
20090319,3936
20090323,3639
20090324,4071
20090325,3897
20090326,3938
20090327,4037
20090330,3882
20090331,3679
20090401,3887
20090402,3905
20090403,4225
20090406,4465
20090407,4418
20090408,4163
20090409,4206
20090410,4622
20090413,4611
20090414,4656
20090415,4409
20090416,4624
20090417,4743
20090420,4766
20090421,4355
20090422,4560
20090423,4428
20090424,4554
20090427,4680
20090428,4445
20090430,4709
20090501,4778
20090507,4979
20090508,4854
20090511,5039
20090512,4825
20090513,4729
20090514,4429
20090515,4539
20090518,4347
20090519,4664
20090520,4650
20090521,4591
20090522,4564
20090525,4550
20090526,4556
20090527,4765
20090528,4713
20090529,4805
20090601,4859
20090602,5099
20090603,5056
20090604,5078
20090605,5170
20090608,5193
20090609,5162
20090610,5112
20090611,5126
20090612,5070
20090615,5182
20090616,4941
20090617,4858
20090618,4739
20090619,4803
20090622,4813
20090623,4580
20090624,4600
20090625,4711
20090626,4772
20090629,4782
20090630,4843
20090701,4848
20090702,4899
20090703,4687
20090706,4679
20090707,4739
20090708,4550
20090709,4418
20090710,4395
20090713,4394
20090714,4518
20090715,4617
20090716,4796
20090717,4815
20090721,4902
20090722,4858
20090723,4880
20090724,5058
20090727,5093
20090728,5138
20090729,5117
20090730,5102
20090731,5270
20090803,5271
20090804,5379
20090805,5567
20090806,5717
20090807,5783
20090810,6024
20090811,5942
20090812,5764
20090813,5837
20090814,5834
20090817,5752
20090818,5535
20090819,5591
20090820,5534
20090821,5644
20090824,5774
20090825,5791
20090826,5825
20090827,5861
20090828,5908
20090831,5876
20090901,5840
20090902,5591
20090903,5495
20090904,5594
20090907,5705
20090908,5754
20090909,5847
20090910,5930
20090911,5956
20090914,5888
20090915,6020
20090916,6084
20090917,6277
20090918,6289
20090924,6193
20090925,6005
20090928,5867
20090929,6122
20090930,6078
20091001,6049
20091002,5824
20091005,5772
20091006,5841
20091007,5865
20091008,5892
20091009,5987
20091013,6067
20091014,6022
20091015,6183
20091016,6271
20091019,6160
20091020,6259
