日付,基準価額
20160908,10000
20160909,10054
20160912,9931
20160913,9798
20160914,9718
20160915,9686
20160916,9711
20160920,9782
20160921,9804
20160923,10002
20160926,9877
20160927,9709
20160928,9769
20160929,9917
20160930,9832
20161003,9793
20161004,10028
20161005,10065
20161006,10245
20161007,10317
20161011,10442
20161012,10294
20161013,10357
20161014,10217
20161017,10306
20161018,10309
20161019,10496
20161020,10520
20161021,10620
20161024,10613
20161025,10774
20161026,10784
20161027,10739
20161028,10745
20161031,10651
20161101,10693
20161102,10542
20161104,10202
20161107,10252
20161108,10604
20161109,10496
20161110,10610
20161111,10481
20161114,10202
20161115,10178
20161116,10329
20161117,10339
20161118,10429
20161121,10492
20161122,10642
20161124,10964
20161125,11024
20161128,10925
20161129,11035
20161130,10903
20161201,11209
20161202,11026
20161205,11061
20161206,11099
20161207,11268
20161208,11320
20161209,11451
20161212,11540
20161213,11507
20161214,11542
20161215,11579
20161216,11559
20161219,11496
20161220,11344
20161221,11454
20161222,11451
20161226,11321
20161227,11385
20161228,11436
20161229,11552
20161230,11569
20170104,11905
20170105,11804
20170106,11868
20170110,11820
20170111,11925
20170112,11919
20170113,12043
20170116,11947
20170117,11865
20170118,11804
20170119,12010
20170120,12002
20170123,11934
20170124,11968
20170125,12120
20170126,12099
20170127,12262
20170130,12305
20170131,12055
20170201,11968
20170202,12036
20170203,12007
20170206,11982
20170207,11889
20170208,11925
20170209,11966
20170210,12171
20170213,12360
20170214,12473
20170215,12575
20170216,12657
20170217,12563
20170220,12402
20170221,12579
20170222,12644
20170223,12632
20170224,12520
20170227,12283
20170228,12271
20170301,12281
20170302,12476
20170303,12315
20170306,12338
20170307,12320
20170308,12323
20170309,12202
20170310,12089
20170313,12120
20170314,12277
20170315,12219
20170316,12294
20170317,12429
20170321,12384
20170322,12248
20170323,12183
20170324,12138
20170327,12085
20170328,12044
20170329,12111
20170330,12193
20170331,12185
20170403,12031
20170404,12000
20170405,12058
20170406,12070
20170407,12035
20170410,12073
20170411,11971
20170412,11813
20170413,11770
20170414,11787
20170417,11676
20170418,11831
20170419,11659
20170420,11616
20170421,11707
20170424,11818
20170425,11922
20170426,12194
20170427,12165
20170428,12091
20170501,12142
20170502,12183
20170508,12119
20170509,12167
20170510,12294
20170511,12469
20170512,12458
20170515,12442
20170516,12632
20170517,12526
20170518,12215
20170519,11842
20170522,12034
20170523,12019
20170524,12121
20170525,12168
20170526,12245
20170529,12216
20170530,12176
20170531,12150
20170601,12059
20170602,12133
20170605,12075
20170606,12068
20170607,11986
20170608,12022
20170609,12019
20170612,11983
20170613,11889
20170614,11919
20170615,11908
20170616,11909
20170619,11920
20170620,12074
20170621,11933
20170622,11889
20170623,11943
20170626,11981
20170627,12185
20170628,12161
20170629,12185
20170630,12145
20170703,12169
20170704,12337
20170705,12286
20170706,12298
20170707,12274
20170710,12324
20170711,12398
20170712,12461
20170713,12608
20170714,12730
20170718,12744
20170719,12688
20170720,12767
20170721,12782
20170724,12610
20170725,12670
20170726,12733
20170727,12706
20170728,12751
20170731,12617
20170801,12648
20170802,12705
20170803,12801
20170804,12690
20170807,12793
20170808,12892
20170809,12820
20170810,12749
20170814,12411
20170815,12596
20170816,12657
20170817,12665
20170818,12550
20170821,12531
20170822,12548
20170823,12738
20170824,12718
20170825,12876
20170828,12903
20170829,12882
20170830,13008
20170831,13125
20170901,13112
20170904,13136
20170905,13056
20170906,12951
20170907,13046
20170908,13011
20170911,12993
20170912,13202
20170913,13276
20170914,13268
20170915,13216
20170919,13436
20170920,13408
20170921,13522
20170922,13473
20170925,13430
20170926,13137
20170927,13212
20170928,13199
20170929,13122
20171002,13232
20171003,13251
20171004,13428
20171005,13515
20171006,13524
